Verb,Pronunciation,SinhalaMeanings,Usage
pace,/peɪs/,"සක්මන් කරනවා,
වේගය පිහිටුවනවා","~ adv./prep.
~ something"
pack,/pæk/,"අඩුක්කරනවා,
තදබදව අසුරනවා",~ something (in/into something)
paint,/peɪnt/,"සිතුවම් කරනවා,
සායම් ගානවා,
තීත්ත ගානවා","~ someone/something
~ something (with something)
~ something + adj."
panic,/ˈpænɪk/,හදිසි බියෙන් කලබල වෙනවා/කරනවා,~ (someone)
pant,/pænt/,හති දානවා,
paralyse,/ˈpærəlaɪz/,"අඩපණ කරනවා,
අඩාල කරනවා",~ someone/something
paraphrase,/ˈpærəfreɪz/,කියූ/ලියූ දෙයක් වෙනත් වචනවලින් තේරුම් කරනවා (තේරෙන භාෂාවෙන් කියනවා),~ (something)
pardon,/ˈpɑːdn/,"සමාව දෙනවා,
වරදකින් නිදහස් කරනවා",~ someone/something
park,/pɑːk/,(වාහනයක්) නතර කරනවා,~ something (adv./prep.)
parry,/ˈpæri/,ප්‍රහාරයක් වළක්වනවා,~ (something)
participate,/pɑːˈtɪsɪpeɪt/,සහභාගී වෙනවා,~ (in something)
pass,/pɑːs/,"යමක් පසු කර යනවා,
සමත් වෙනවා,
ඉදිරියට යනවා,
අතින් අතට යනවා/යවනවා","~ someone/something
~ adv./prep.
~ someone something
~ something (to someone)"
paste,/peɪst/,අලවනවා,~ something (adv./prep.)
pat,/pæt/,"පැතලි අතින් හෙමිහිට
තට්ටු කරනවා",~ something
patch,/pætʃ/,අණ්ඩ දමනවා,~ something (with something)
patrol,/pəˈtrəʊl/,මුර සංචාරයේ යෙදෙනවා,~ (something)
pawn,/pɔːn/,උකස් කරනවා,~ something
pay*,/peɪ/,ගෙවනවා etc.,"~ (something) (for something)
~ someone something
~ (something) (to/for someone)
~ (someone) (for something)
~ someone to do something
~ with something"
peek,/piːk/,(නොබැලිය යුත්තක් දිහා) හොරෙන් බලනවා,"~ at someone/something
~ adv./prep."
peel,/piːl/,"පොතු අරිනවා,
ලෙලි අරිනවා,
පොතු ගැලවෙනවා","~ something
~ something (away/off)
~ (off)"
peep,/piːp/,සිදුරකින් එබී හොරෙන් බලනවා,"~ at someone/something
~ adv./prep."
penetrate,/ˈpenətreɪt/,පසාරු කරගෙන යනවා,"~ something
~ into/through something"
perfect,/pəˈfekt/,යමක් පරිපූර්ණත්වය දෙසට වැඩි දියුණු කරනවා,~ something
perform,/pəˈfɔːm/,"(යමක්) කරනවා,
(නාට්‍යයක) රඟ පානවා","~ (something)
~ adv./prep."
perish,/ˈperɪʃ/,විනාශ වෙනවා,
permit,/pəˈmɪt/,අවසර දෙනවා,"~ something
~ someone to do something"
persuade,/pəˈsweɪd/,"කෙනෙක්ව
(යමක් කරන්නට) පොළඹවා ගන්නවා","~ someone (to do something)
~ someone (into doing something)"
pet,/pet/,හුරතල් කරනවා,~ someone/something
phone,/fəʊn/,දුරකතනයෙන් අමතනවා,~ someone/something
pick,/pɪk/,"තෝරාගන්නවා,
(දත්/නහය) හාරනවා,
නෙළා ගන්නවා,
ඇහිඳිනවා","~ someone/something
~ something up"
pierce,/pɪəs/,"විදිනවා,
පසාරු කරගෙන යනවා","~ something
~ (though) something"
place,/paɪl/,එක උඩ එක තියනවා/ගොඩගහනවා,"~ something (up)
~ B on(to) A
~ adv./prep."
plan,/pleɪs/,(පරෙස්සමින්) කිසියම් තැනකින් තබනවා,~ (someone) (adv./prep.)
plant,/plɑːnt/,පැළ කරනවා,~ something
play,/pleɪ/,"සෙල්ලම් කරනවා,
වාදනය කරනවා,
රඟ දක්වනවා",~ (something)
plead,/pliːd/,ආයාචනා කරනවා,"~ (with someone) (to do something)
~ (with someone) (for something)"
please,/pliːz/,සතුටු කරනවා,~ (someone) (to do something)
point,/pɔɪnt/,(ඇඟිල්ල/තුවක්කුව ආදිය) දික් කරනවා/එල්ල කරනවා,"~ (at/to/towards someone/something)
~ (something) at someone/something"
poison,/ˈpɔɪzn/,"වස දෙනවා,
වස දානවා","~ someone
~ something"
pollute,/pəˈluːt/,යම් දෙයක් දූෂ්‍ය කරනවා/අපිරිසිදු කරනවා,~ something (by/with something)
portray,/pɔːˈtreɪ/,විචිත්‍රව විස්තර කරනවා,~ someone/something (as something)
possess,/pəˈzes/,"අයිතිව තියෙනවා,
අයත් කරගෙන ඉන්නවා",~ something
post,/pəʊst/,"තැපැල් කරනවා,
දැනගැනීම පිණිස ප්‍රසිද්ධ කරනවා etc.","~ someone something
~ something (off) (to someone)
~ something (adv./prep.)"
pour,/pɔː(r)/,"වැක්කෙරෙනවා/
වක්කරනවා","~ (something) (adv./prep.)
~ something (out)
~ someone something
~ something for someone"
practise,/ˈpræktɪs/,"පුරුදු පුහුණු වෙනවා,
ක්‍රියාවෙහි යොදවනවා","~ something
~ (for something)
~ doing something
~ (something) on someone/something"
praise,/preɪz/,"වර්ණනා කරනවා,
ප්‍රශංසා කරනවා","~ someone/something (for something)
~ someone/something (for doing something)
~ someone/something (as something)"
pray,/preɪ/,"යාඥා කරනවා,
යදිනවා","~ for someone/something
~ to someone (for someone/something)"
predict,/prɪˈdɪkt/,"අනාවැකි පල කරනවා,
වෙන දේ කලින් කියනවා","~ something
~ that...
~ wh-"
prefer,/prɪˈfɜː(r)/,වැඩිපුර කැමතියි,"~ someone/something
~ someone/something + adj.
~ to do something
~ doing something
~ that...
~ A to B"
prepare,/prɪˈpeə(r)/,"සූදානම් වෙනවා,
සූදානම් කරනවා","~ (someone/something) (for someone/something)
~ to do something"
prescribe,/prɪˈskraɪb/,(පොතක්/බෙහෙතක්) නියම කරනවා,"~ something
~ (someone) something (for something)
~ that...
~ wh-"
present,/prɪˈzent/,"ඉදිරිපත් කරනවා,
ගෙනහැර දක්වනවා,
තෑගි කරනවා","~ something (to someone)
~ someone with something
~ someone/something (as someone/something)"
preserve,/prɪˈzɜːv/,"යම් දෙයක තත්වය ආරක්ෂා කරගන්නවා,
කෑම කල් තබා ගන්නවා",~ something
press,/pres/,"තද වෙනවා/කරනවා,
මිරිකනවා,
පීඩනයක් යොදනවා","~ (someone/something) (against someone/something)
~ something together
~ something to something"
presume,/prɪˈzjuːm/,"සත්‍ය යැයි සිතනවා,
අනුමාන කරනවා","~ (that)
~ something
~ someone/something + adj.
~ someone/something to be someone/something
~ someone/something to have done something"
pretend,/prɪˈtend/,යම් දෙයක් බොරුවට අඟවනවා,"~ (to someone) (that)
~ to be/do/have something
~ something"
prevent,/prɪˈvent/,වළක්වනවා,"~ someone/something (doing something)
~ someone/something (from doing something)"
price,/praɪs/,මිල නියම කරනවා,"~ something at something
~ something (up)
~ something (adv./prep.)"
print,/prɪnt/,මුද්‍රණය කරනවා,~ something
proceed,/prəˈsiːd/,ඉදිරියට (කරගෙන) යනවා,"~ (with something)
~ to do something
~ adv./prep."
process,/ˈprəʊses/,සකස් කරනවා,~ something
produce,/prəˈdjuːs/,"නිෂ්පාදනය කරනවා,
ඉදිරිපත් කරනවා",~ something
profit,/ˈprɒfɪt/,ලාභ ලබනවා,"~ (on something)
~ (from something)"
promise,/ˈprɒmɪs/,පොරොන්දු වෙනවා,"~ to do something
~ something
~ (someone) that
~ someone something
~ something (to someone)"
promote,/prəˈməʊt/,"උසස් කරනවා,
අනුබල දෙනවා,
ප්‍රවර්ධනය කරනවා","~ someone (from something) (to something)
~ something
~ something (as something)"
prompt,/prɒmpt/,"පොළඹවනවා,
උනන්දු කරවනවා",~ someone to do something
pronounce,/prəˈnaʊns/,"උච්චාරණය කරනවා,
තීන්දුවක් දෙනවා,
නිල වශයෙන් ප්‍රකාශයට පත් කරනවා","~ something
~ someone/something + noun/adj.
~ someone/something to be/have
~ that..."
propose,/prəˈpəʊz/,යෝජනා කරනවා,"~ something
~ that...
~ to do something
~ doing something
~ to someone
~ something (to someone)
~ someone (for/as something)"
protect,/prəˈtekt/,"ආරක්ෂා කරනවා,
ආරක්ෂාව සපයනවා,
ආරක්ෂා වෙනවා",~ (someone/something) (from/against something)
protest,/prəˈtest/,"විරුද්ධත්වය ප්‍රකාශ කරනවා,
විරෝධය පානවා","~ (about/against/at something)
~ that..."
prove,/pruːv/,"ඔප්පු කරනවා,
තහවුරු කරනවා,
ප්‍රත්‍යක්ෂ කරනවා","~ something (to someone)
~ that...
~ wh-
~ someone/something + adj."
provide,/prəˈvaɪd/,"සපයනවා,
සලසනවා,
ලබා දෙනවා","~ something (to/for someone)
~ someone with something"
