Verb,Pronunciation,SinhalaMeanings,Usage
earn,/ɜːn/,"උපයනවා,
උත්සාහයෙන් ලබාගන්නවා","~ something
~ someone something"
eat*,/iːt/,කනවා,~ something
edit,/ˈedɪt/,සංස්කරණය කරනවා,~ something
educate,/ˈedʒukeɪt/,"අධ්‍යාපනය දෙනවා,
උපදෙස් දෙනවා",~ someone (in/on something)
eject,/iˈdʒekt/,බලෙන් ඉවත් කරනවා,~ someone/something (from something)
elaborate,/ɪˈlæbəreɪt/,විස්තර වශයෙන් පැහැදිලි කරනවා,"~ (something)
~ on/upon something"
elect,/ɪˈlekt/,තෝරා පත් කරගන්නවා,"~ someone/something
~ someone to something
~ someone as someone"
elevate,/ˈelɪveɪt/,ඉහලට උස්සනවා,~ someone/something (to something)
eliminate,/ɪˈlɪmɪneɪt/,ඉවත් කරනවා,~ someone/something (from something)
email,/ˈiːmeɪl/,ඊමේල් කරනවා,"~ something (to someone)
~ someone something"
embalm,/ɪmˈbɑːm/,මළ සිරුරු එම්බාම් කරනවා,~ something
embark,/ɪmˈbɑːk/,"නැව් නගිනවා,
නැවකට පටවා යවනවා",~ (someone/something)
embarrass,/ɪmˈbærəs/,ලැජ්ජාවට/අපහසුතාවයට පත් කරනවා,~ someone
embed,/ɪmˈbed/,කාවද්දනවා,~ something (in something)
emboss,/ɪmˈbɒs/,මතු වී සිටින සේ කැටයම් කරනවා,"~ B on A
~ A with B"
embrace,/ɪmˈbreɪs/,වැළඳ ගන්නවා,~ someone/something
emerge,/iˈmɜːdʒ/,"මතු වෙනවා,
එළියට එනවා","~ as something
~ from something
~ into something"
emigrate,/ˈemɪɡreɪt/,"පිටිරට පදිංචියට යනවා,
සක්‍රමණය වෙනවා",~ (from …) (to …)
emit,/iˈmɪt/,"විමෝචනය කරනවා,
ආලෝකය/තාපය වැනි යමක් නිකුත් කරනවා",~ something
empathize,/ˈempəθaɪz/,සංවේදනාත්මකව සලකනවා,~ (with someone/something)
emphasize,/ˈemfəsaɪz/,"අවධාරණය කරනවා,
විශේෂ/වැදගත් කොට පෙන්වනවා","~ something
~ that..."
employ,/ɪmˈplɔɪ/,"වැඩක යොදවනවා,
රැකියාවක් දෙනවා",~ someone/something
empty,/ˈempti/,"හිස් කරනවා,
හිස් වෙනවා",~ something
enable,/ɪˈneɪbl/,හැකියාව ලබාදෙනවා,~ someone/something (to do something)
encounter,/ɪnˈkaʊntə(r)/,අහම්බෙන් මුහුණ පාන්නට සිදුවෙනවා,~ someone/something
encourage,/ɪnˈkʌrɪdʒ/,"ධෛර්යමත් කරනවා,
අනුබල දෙනවා",~ someone to do something
end,/end/,අවසාන කරනවා,~ something
endanger,/ɪnˈdeɪndʒə(r)/,අනතුරේ දමනවා,~ someone/something
endorse,/ɪnˈdɔːs/,අනුමැතිය පළ කරනවා,~ something
endure,/ɪnˈdjʊə(r)/,විඳ දරා ගන්නවා,"~ something
~ doing something"
energize,/ˈenədʒaɪz/,ශක්තිය ලබා දෙනවා,~ someone/something
enforce,/ɪnˈfɔːs/,(නීතියක්) ක්‍රියාත්මක කරනවා. බල කර සිටිනවා,~ something (on/against someone/something)
engage,/ɪnˈɡeɪdʒ/,"යමකට ඈඳාගන්නවා/බැඳගන්නවා,
වැඩක යෙදෙනවා","~ something
~ someone/something to do something
~ with someone"
engineer,/ˌendʒɪˈnɪə(r)/,ශිල්පීයව යමක් හදනවා,~ something
engrave,/ɪnˈɡreɪv/,කැටයම් කොටනවා,"~ B on A
~ A with B"
enhance,/ɪnˈhɑːns/,වැඩි දියුණු කරනවා,~ something
enjoy,/ɪnˈdʒɔɪ/,"රස විඳිනවා,
ප්‍රීති වෙනවා,
ප්‍රයෝජන ලබනවා","~ something
~ doing something"
enlarge,/ɪnˈlɑːdʒ/,"විශාල කරනවා,
විශාල වෙනවා",~ (something)
enlighten,/ɪnˈlaɪtn/,අවබෝධ කරදෙනවා,~ someone
enlist,/ɪnˈlɪst/,"උදව්වට/ආධාරයට
බඳවා ගන්නවා",~ someone (in something)
enquire,/ɪnˈkwaɪə(r)/,පුදගලයෙක්ගෙන් යමක් විමසනවා,"~ something
~ about someone/something
~ wh-"
enrage,/ɪnˈreɪdʒ/,කෙනෙක්ව කුපිත කරනවා,~ someone
enrich,/ɪnˈrɪtʃ/,"සාරවත් කරනවා,
පොහොසත් කරනවා",~ someone/something (with something)
enroll,/ɪnˈrəʊl/,(පාඨමාලාවකට/පාසලකට) ලියාපදිංචි කරනවා/වෙනවා,~ (something)
enslave,/ɪnˈsleɪv/,වහල්භාවයට ගන්නවා,~ someone/something
ensure,/ɪnˈʃʊə(r)/,"සහතික කරනවා,
සහතික වෙනවා","~ someone/something
~ that..."
entangle,/ɪnˈtæŋɡl/,උගුලක/කරදරේක පටලවනවා,~ someone/something (in/with something)
enter,/ˈentə(r)/,"ඇතුල්වෙනවා,
ඇතුලත්වෙනවා,
ඇතුලත් කරනවා","~ something
~ someone (in/for something)"
